列1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
2026/8/10,1号機,製品A,機械異常,画像アンプ異常でカメラ故障,カメラ部,カメラ交換,信号が変に送られていた
2026/8/10,4号機,製品B,寸法不良,底圧多発,底厚検査部,現物測定して号機と比較,製品と機械どちらが原因か確認
2026/9/4,1号機,製品C,画像調整,面取寸法のコントラストが薄い,画像検査部,ゲイン調整で画像をくっきりさせる,ゲイン3から6に変更
2026/9/4,2号機,製品C,画像調整,カメラ検査範囲がズレている,カメラ部,カメラを軽く叩いて位置を戻す,
2026/9/12,3号機,製品D,寸法不良,高さ部分が大きめに出る,高さ検査部,公差内なら広げて流動,公差外なら流動停止して報告
2026/5/23,2号機,製品E,画像調整,六角キズ多発でフィンガー傷レベルが浅い,六角検査部,コントラスト暗くしてしきい値を上げる,良品と不良の差が浅かったため
2026/10/16,2号機,製品D,画像調整,5.6部小さめ,寸法検査部,倍率調整,
2026/10/16,3号機,製品D,画像調整,2号機と同じ症状,バッファ部,バッファ右位置調整,
2026/10/16,4号機,製品A,機械異常,パーツフィーダー調整,供給部,パーツフィーダー調整,
2026/1/28,1号機,製品D,寸法不良,ネジ側の差が大きい,寸法検査部,公差広げて3ロット様子見,
2026/1/28,2号機,製品D,画像調整,ネジ径倍率調整,ネジ検査部,倍率調整,
2026/1/28,3号機,製品D,画像調整,5.6倍率調整,寸法検査部,倍率調整,
2026/3/4,1号機,製品F,画像調整,面取寸法領域調整,画像検査部,領域調整,
2026/3/6,5号機,製品G,機械異常,反転部ピン外れ,反転部,ハンマーで付け直す,
2026/4/13,2号機,製品H,機械異常,高さ検査部の下がりセンサ不調,高さ検査部,センサ調整・下がり速度速める,
2026/4/14,1号機,製品H,機械異常,排出ケースに当たりゴムを短くする,排出部,ゴムを短くする,
2026/4/20,3号機,製品H,機械異常,ゴムが短くて上に上がるため交換,排出部,ゴム交換,
2026/4/20,4号機,製品H,搬送異常,爪搬送異常多発でコンベアのレール継ぎ目で傾き挟まる,爪搬送部,行き速度を遅くする,タクト6.2から6.7に変更
2026/4/23,4号機,製品H,搬送異常,コンベア幅が広くて爪搬送で止まる,コンベア部,幅を狭くする,
2026/5/2,1号機,製品I,画像調整,スリット有無画像調整,画像検査部,画像調整,
2026/5/2,2号機,製品I,寸法不良,ネジ径倍率0.09のズレ,ネジ検査部,倍率調整,ロット投入時ほとんど弾いていたため気付く
2026/5/13,4号機,製品J,機械異常,爪搬送が斜めで擦れている,爪搬送部,位置調整,
2026/6/20,1号機,製品K,搬送異常,側キズ検査部で転倒多発,側キズ検査部,上昇速度遅める,ワークが跳ねていたため
2026/6/20,2号機,製品K,搬送異常,反転部でワークを落とす,反転部,取位置側の位置調整,
2026/6/21,1号機,製品K,画像調整,六角NG多発で画像上でズレ,側キズ検査部,吸着ゴム交換・画像調整,二重になっていたゴムを交換
2026/12/16,3号機,製品L,機械異常,バッファ異常で戻りが途中で止まる,バッファ部,エアーホース位置調整,エアーホースが邪魔していた
2026/12/23,3号機,製品L,搬送異常,爪搬送位置ズレで六角に傷付き,爪搬送部,位置調整・プレート曲がり調整,
2026/1/25,1号機,製品M,寸法不良,底厚検査部の数値が大きめに出る,底厚検査部,ピンの曲がり確認・マグネスケール調整,回すと小さく出る位置で調整
2026/2/21,1号機,製品N,機械異常,内径検査部が下降したまま止まる,内径検査部,上昇センサ交換,センサが消えかかっていた
2026/3/19,2号機,製品O,機械異常,コンベア動かず,コンベア部,電磁弁交換,使っていないものと入れ替え
